Date,Rate,High (est),Low (est)
2014-10-31,1.26539,0.0,0.0
2014-10-30,1.27233,1.2872,1.2576
2014-10-29,1.27086,0.0,0.0
2014-10-28,1.26866,1.2844,1.2531
2014-10-27,1.26619,0.0,0.0
2014-10-24,1.26642,1.2821,1.2509
2014-10-23,1.27234,1.2874,1.2574
2014-10-22,1.27727,0.0,0.0
2014-10-21,1.27655,1.2923,1.261
2014-10-20,1.27744,1.2917,1.2633
2014-10-17,1.2762,1.2914,1.2612
2014-10-16,1.26929,1.2851,1.2537
2014-10-15,1.26836,0.0,0.0
2014-10-14,1.26579,0.0,0.0
2014-10-13,1.26667,1.2816,1.2519
2014-10-10,1.27067,1.2863,1.2553
2014-10-09,1.26537,1.2797,1.2512
2014-10-08,1.26022,0.0,0.0
2014-10-07,1.25386,1.2694,1.2385
2014-10-06,1.2561,1.2712,1.2411
2014-10-03,1.26327,0.0,0.0
2014-10-02,1.26275,1.2783,1.2474
2014-10-01,1.26652,0.0,0.0
2014-09-30,1.26856,0.0,0.0
2014-09-29,1.27103,0.0,0.0
2014-09-26,1.27777,1.2934,1.2623
2014-09-25,1.28405,1.299,1.2693
2014-09-24,1.28558,1.3009,1.2705
2014-09-23,1.28396,1.2993,1.2688
2014-09-22,1.28496,0.0,0.0
2014-09-19,1.29076,0.0,0.0
2014-09-18,1.29486,1.311,1.2789
2014-09-17,1.29468,0.0,0.0
2014-09-16,1.29517,1.31,1.2805
2014-09-15,1.29471,0.0,0.0
2014-09-12,1.29244,1.3078,1.2772
2014-09-11,1.29161,1.3068,1.2766
2014-09-10,1.29126,1.3065,1.2762
2014-09-09,1.29441,1.3091,1.2798
2014-09-08,1.30011,0.0,0.0
2014-09-05,1.31006,1.3258,1.2945
2014-09-04,1.31332,0.0,0.0
2014-09-03,1.31265,1.3287,1.2968
2014-09-02,1.31318,0.0,0.0
2014-09-01,1.31543,1.3311,1.2999
2014-08-29,1.3187,0.0,0.0
2014-08-28,1.31844,1.3343,1.3028
2014-08-27,1.3196,0.0,0.0
2014-08-26,1.32157,1.3361,1.3072
2014-08-25,1.32506,1.3408,1.3095
2014-08-22,1.32765,1.3424,1.3131
2014-08-21,1.33149,0.0,0.0
2014-08-20,1.33585,0.0,0.0
2014-08-19,1.33891,1.354,1.3239
2014-08-18,1.33885,0.0,0.0
2014-08-15,1.33682,0.0,0.0
2014-08-14,1.33663,1.3523,1.3211
2014-08-13,1.33764,0.0,0.0
2014-08-12,1.34007,1.3565,1.3238
2014-08-11,1.33971,0.0,0.0
2014-08-08,1.33701,1.3525,1.3216
2014-08-07,1.33783,0.0,0.0
2014-08-06,1.34075,1.3563,1.3254
2014-08-05,1.3426,0.0,0.0
2014-08-04,1.34176,1.3578,1.3259
2014-08-01,1.33947,0.0,0.0
2014-07-31,1.34093,1.3565,1.3256
2014-07-30,1.34297,0.0,0.0
2014-07-29,1.34326,1.3595,1.3272
2014-07-28,1.34433,0.0,0.0
2014-07-25,1.34773,0.0,0.0
2014-07-24,1.34773,1.3631,1.3325
2014-07-23,1.3509,1.3658,1.3362
2014-07-22,1.35258,0.0,0.0
2014-07-21,1.35251,1.3675,1.3377
2014-07-18,1.35347,0.0,0.0
2014-07-17,1.35671,1.3726,1.341
2014-07-16,1.36067,1.3768,1.3447
2014-07-15,1.36119,0.0,0.0
2014-07-14,1.36135,1.3774,1.3455
2014-07-11,1.36231,1.3778,1.347
2014-07-10,1.36141,0.0,0.0
2014-07-09,1.36009,1.3755,1.3448
2014-07-08,1.36114,0.0,0.0
2014-07-07,1.36114,0.0,0.0
2014-07-04,1.36489,0.0,0.0
2014-07-03,1.36742,1.3828,1.3522
2014-07-02,1.36775,0.0,0.0
2014-07-01,1.36561,1.3807,1.3507
2014-06-30,1.36369,0.0,0.0
2014-06-27,1.36188,0.0,0.0
2014-06-26,1.36125,1.3763,1.3463
2014-06-25,1.36016,1.3756,1.3449
2014-06-24,1.35974,1.3759,1.3438
2014-06-23,1.36033,1.3762,1.3447
2014-06-20,1.35908,1.3746,1.3437
2014-06-19,1.35596,1.3716,1.3405
2014-06-18,1.35546,0.0,0.0
2014-06-17,1.35462,1.3712,1.3383
2014-06-16,1.35423,1.371,1.3377
2014-06-13,1.35389,1.3707,1.3372
2014-06-12,1.35474,0.0,0.0
2014-06-11,1.35881,1.374,1.3438
2014-06-10,1.36301,1.3783,1.3479
2014-06-09,1.36298,1.3788,1.3474
2014-06-06,1.36112,1.3767,1.3458
2014-06-05,1.36142,0.0,0.0
2014-06-04,1.36138,0.0,0.0
2014-06-03,1.36225,0.0,0.0
2014-06-02,1.3623,1.3774,1.3473
2014-05-30,1.36095,1.3764,1.3457
2014-05-29,1.36268,1.3778,1.3478
2014-05-28,1.36396,1.3792,1.3489
2014-05-27,1.36325,1.3784,1.3483
2014-05-26,1.36438,1.3812,1.3478
2014-05-23,1.36771,1.3836,1.352
2014-05-22,1.36953,1.3861,1.3531
2014-05-21,1.37055,1.3872,1.3541
2014-05-20,1.3704,1.3859,1.355
2014-05-19,1.36967,0.0,0.0
2014-05-16,1.37053,0.0,0.0
2014-05-15,1.3721,0.0,0.0
2014-05-14,1.37444,1.3908,1.3583
2014-05-13,1.37606,1.3928,1.3595
2014-05-12,1.3811,1.3979,1.3645
2014-05-09,1.39104,1.4081,1.3742
2014-05-08,1.39184,1.4091,1.3748
2014-05-07,1.38967,1.4067,1.3728
2014-05-06,1.38748,0.0,0.0
2014-05-05,1.38726,0.0,0.0
2014-05-02,1.38566,0.0,0.0
2014-05-01,1.38364,1.3995,1.3679
2014-04-30,1.38448,0.0,0.0
2014-04-29,1.38406,0.0,0.0
2014-04-28,1.38287,1.3988,1.3672
2014-04-25,1.38226,0.0,0.0
2014-04-24,1.38146,1.3987,1.3644
2014-04-23,1.38043,1.3963,1.3647
2014-04-22,1.38104,0.0,0.0
2014-04-21,1.38201,0.0,0.0
2014-04-18,1.38299,1.3985,1.3676
2014-04-17,1.38184,0.0,0.0
2014-04-16,1.38209,0.0,0.0
2014-04-15,1.38554,0.0,0.0
2014-04-14,1.38781,1.4043,1.3716
2014-04-11,1.38419,0.0,0.0
2014-04-10,1.37907,1.395,1.3633
2014-04-09,1.37492,0.0,0.0
2014-04-08,1.37136,0.0,0.0
2014-04-07,1.37209,1.3878,1.3565
2014-04-04,1.37639,0.0,0.0
2014-04-03,1.37876,1.3949,1.3628
2014-04-02,1.37795,0.0,0.0
2014-04-01,1.37623,0.0,0.0
2014-03-31,1.37589,1.392,1.36
2014-03-28,1.37826,1.3936,1.3631
2014-03-27,1.38114,1.3965,1.366
2014-03-26,1.38129,1.3985,1.3643
2014-03-25,1.37945,1.3949,1.3641
2014-03-24,1.37963,1.3963,1.3632
2014-03-21,1.38435,1.4003,1.3686
2014-03-20,1.39142,1.4082,1.3748
2014-03-19,1.39162,0.0,0.0
2014-03-18,1.39104,0.0,0.0
2014-03-17,1.39135,1.4081,1.3748
2014-03-14,1.3902,1.4065,1.374
2014-03-13,1.38705,0.0,0.0
2014-03-12,1.38705,1.4032,1.3711
2014-03-11,1.38796,0.0,0.0
2014-03-10,1.38399,1.4009,1.3673
2014-03-07,1.37554,1.3908,1.3604
2014-03-06,1.37372,0.0,0.0
2014-03-05,1.37544,0.0,0.0
2014-03-04,1.37822,1.3954,1.3612
2014-03-03,1.37561,0.0,0.0
2014-02-28,1.36972,1.3865,1.3531
2014-02-27,1.37305,1.3884,1.3579
2014-02-26,1.37412,1.3902,1.3582
2014-02-25,1.37388,1.3892,1.3587
2014-02-24,1.37342,1.3899,1.3572
2014-02-21,1.37367,0.0,0.0
2014-02-20,1.37452,1.3909,1.3583
2014-02-19,1.37188,1.3885,1.3555
2014-02-18,1.37009,1.3865,1.3539
2014-02-17,1.36731,1.3839,1.3509
2014-02-14,1.36294,0.0,0.0
2014-02-13,1.36323,0.0,0.0
2014-02-12,1.36491,1.3807,1.3493
2014-02-11,1.36331,1.379,1.3478
2014-02-10,1.36039,1.3769,1.3441
2014-02-07,1.3538,1.3703,1.3375
2014-02-06,1.35184,0.0,0.0
2014-02-05,1.351,1.3677,1.3345
2014-02-04,1.34942,1.3651,1.3339
2014-02-03,1.353,1.3698,1.3364
2014-01-31,1.36286,1.3788,1.3471
2014-01-30,1.36612,1.382,1.3505
2014-01-29,1.36705,0.0,0.0
2014-01-28,1.36786,0.0,0.0
2014-01-27,1.36503,0.0,0.0
2014-01-24,1.35884,1.3749,1.343
2014-01-23,1.35521,0.0,0.0
2014-01-22,1.35446,0.0,0.0
2014-01-21,1.35446,1.3708,1.3384
2014-01-20,1.35662,1.3735,1.3399
2014-01-17,1.36172,1.3776,1.346
2014-01-16,1.36441,1.3804,1.3486
2014-01-15,1.36693,1.382,1.352
2014-01-14,1.3667,0.0,0.0
2014-01-13,1.36373,0.0,0.0
2014-01-10,1.35943,0.0,0.0
2014-01-09,1.36127,0.0,0.0
2014-01-08,1.36183,1.3776,1.3462
2014-01-07,1.3599,1.3753,1.3447
2014-01-06,1.36346,1.3799,1.3473
2014-01-03,1.37434,0.0,0.0
2014-01-02,1.37876,1.3949,1.3628
2014-01-01,1.37791,0.0,0.0
2013-12-31,1.37606,1.3915,1.3608
2013-12-30,1.37271,1.3897,1.3559
2013-12-27,1.36839,1.3839,1.353
2013-12-26,1.3684,0.0,0.0
2013-12-25,1.3684,0.0,0.0
2013-12-24,1.3682,0.0,0.0
2013-12-23,1.36729,0.0,0.0
2013-12-20,1.37055,1.3857,1.3556
2013-12-19,1.37609,0.0,0.0
2013-12-18,1.37609,1.3916,1.3608
2013-12-17,1.37527,0.0,0.0
2013-12-16,1.37547,1.3916,1.3596
2013-12-13,1.37732,1.3935,1.3613
2013-12-12,1.37642,1.3927,1.3603
2013-12-11,1.37393,0.0,0.0
2013-12-10,1.37126,0.0,0.0
2013-12-09,1.36737,1.3836,1.3513
2013-12-06,1.36024,0.0,0.0
2013-12-05,1.3575,0.0,0.0
2013-12-04,1.3566,1.3718,1.3416
2013-12-03,1.3579,1.3729,1.3431
2013-12-02,1.35908,0.0,0.0
2013-11-29,1.35861,1.375,1.3425
2013-11-28,1.35656,0.0,0.0
2013-11-27,1.35374,1.3706,1.3371
2013-11-26,1.35405,0.0,0.0
2013-11-25,1.35141,1.3664,1.3366
2013-11-22,1.34713,0.0,0.0
2013-11-21,1.3517,0.0,0.0
2013-11-20,1.351,1.3672,1.335
2013-11-19,1.35004,1.3652,1.335
2013-11-18,1.34835,1.3632,1.3337
2013-11-15,1.34529,1.3604,1.3303
2013-11-14,1.34259,1.3578,1.3275
2013-11-13,1.33985,0.0,0.0
2013-11-12,1.33771,1.3528,1.3228
2013-11-11,1.34105,0.0,0.0
2013-11-08,1.34857,1.3636,1.3337
2013-11-07,1.35003,0.0,0.0
2013-11-06,1.34957,0.0,0.0
2013-11-05,1.34954,1.366,1.3333
2013-11-04,1.35533,1.3717,1.3391
2013-11-01,1.37009,1.3852,1.3552
2013-10-31,1.37571,0.0,0.0
2013-10-30,1.37815,1.3954,1.3611
2013-10-29,1.38017,1.3961,1.3645
2013-10-28,1.37999,0.0,0.0
2013-10-25,1.37874,1.3941,1.3636
2013-10-24,1.37506,1.3912,1.3591
2013-10-23,1.36967,1.3865,1.353
2013-10-22,1.36798,0.0,0.0
2013-10-21,1.36561,1.3817,1.3497
2013-10-18,1.35727,0.0,0.0
2013-10-17,1.35272,1.369,1.3367
2013-10-16,1.35433,1.3711,1.3378
2013-10-15,1.35573,1.3707,1.3409
2013-10-14,1.35342,1.3702,1.3369
2013-10-11,1.35261,1.3695,1.336
2013-10-10,1.35529,1.3722,1.3386
2013-10-09,1.35735,0.0,0.0
2013-10-08,1.35661,1.3716,1.3418
2013-10-07,1.35758,1.3726,1.3427
2013-10-04,1.35822,1.3736,1.343
